Object ID,Title,Object Name,Department,Culture,Period,Artist Display Name,Medium,Dimensions,Classification,Object Date,General_Text_Description,url
435635,Chancellor Leonhard von Eck (1480–1550),Painting,European Paintings,Unknown,Unknown,Barthel Beham,Oil on spruce,22 1/8 x 14 7/8 in. (56.2 x 37.8 cm),Paintings,1527,"Chancellor Leonhard von Eck (1480–1550) is a Unknown Painting by the Unknown artist Barthel Beham. This piece, part of the European Paintings collection, is crafted using Oil on spruce. Measuring 22 1/8 x 14 7/8 in. (56.2 x 37.8 cm), the work is classified as Paintings and was created in 1527.",http://example_url_2741/
435637,"Charles Coguin, Abbot of Anchin","Painting, wing of a triptych",European Paintings,Unknown,Unknown,Jean Bellegambe,Oil on wood,"Arched top, 26 3/4 x 11 3/8 in. (67.9 x 28.9 cm)",Paintings,ca. 1509–13,"Charles Coguin, Abbot of Anchin is a Unknown Painting, wing of a triptych by the Unknown artist Jean Bellegambe. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Arched top, 26 3/4 x 11 3/8 in. (67.9 x 28.9 cm), the work is classified as Paintings and was created in ca. 1509–13.",http://example_url_2742/
435638,The Le Cellier Altarpiece,"Painting, triptych",European Paintings,Unknown,Unknown,Jean Bellegambe,Oil on wood,Shaped top: central panel 40 x 24 in. (101.6 x 61 cm); left wing 37 3/4 x 10 in. (95.9 x 25.4 cm); right wing 37 1/2 x 9 1/2 in. (95.3 x 24.1 cm),Paintings,1509,"The Le Cellier Altarpiece is a Unknown Painting, triptych by the Unknown artist Jean Bellegambe. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Shaped top: central panel 40 x 24 in. (101.6 x 61 cm); left wing 37 3/4 x 10 in. (95.9 x 25.4 cm); right wing 37 1/2 x 9 1/2 in. (95.3 x 24.1 cm), the work is classified as Paintings and was created in 1509.",http://example_url_2743/
435639,Vase of Flowers in a Niche,"Painting, overdoor",European Paintings,Unknown,Unknown,Michel Bruno Bellengé,Oil on canvas,48 3/8 x 55 in. (122.9 x 139.7 cm),Paintings,Unknown,"Vase of Flowers in a Niche is a Unknown Painting, overdoor by the Unknown artist Michel Bruno Bellengé. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 48 3/8 x 55 in. (122.9 x 139.7 cm), the work is classified as Paintings .",http://example_url_2744/
435640,Madonna Adoring the Sleeping Child,Painting,European Paintings,Unknown,Unknown,Giovanni Bellini,Tempera on wood,28 1/2 x 18 1/4 in. (72.4 x 46.4 cm),Paintings,early 1460s,"Madonna Adoring the Sleeping Child is a Unknown Painting by the Unknown artist Giovanni Bellini. This piece, part of the European Paintings collection, is crafted using Tempera on wood. Measuring 28 1/2 x 18 1/4 in. (72.4 x 46.4 cm), the work is classified as Paintings and was created in early 1460s.",http://example_url_2745/
435641,Madonna and Child,Painting,European Paintings,Unknown,Unknown,Giovanni Bellini,Oil on wood,35 x 28 in. (88.9 x 71.1 cm),Paintings,late 1480s,"Madonna and Child is a Unknown Painting by the Unknown artist Giovanni Bellini. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 35 x 28 in. (88.9 x 71.1 cm), the work is classified as Paintings and was created in late 1480s.",http://example_url_2746/
435642,Madonna and Child with Saints,Painting,European Paintings,Unknown,Unknown,Giovanni Bellini,Tempera and oil on wood,38 1/4 x 60 1/2 in. (97.2 x 153.7 cm),Paintings,Unknown,"Madonna and Child with Saints is a Unknown Painting by the Unknown artist Giovanni Bellini. This piece, part of the European Paintings collection, is crafted using Tempera and oil on wood. Measuring 38 1/4 x 60 1/2 in. (97.2 x 153.7 cm), the work is classified as Paintings .",http://example_url_2747/
435643,The Circumcision,Painting,European Paintings,Unknown,Unknown,Giovanni Bellini,Oil on wood,26 3/4 x 40 1/2 in. (67.9 x 102.9 cm),Paintings,1511,"The Circumcision is a Unknown Painting by the Unknown artist Giovanni Bellini. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 26 3/4 x 40 1/2 in. (67.9 x 102.9 cm), the work is classified as Paintings and was created in 1511.",http://example_url_2748/
435644,Madonna and Child,Painting,European Paintings,Unknown,Unknown,Giovanni Bellini,Oil on wood,Overall 13 1/2 x 10 7/8 in. (34.3 x 27.6 cm); painted surface 12 3/4 x 10 1/8 in. (32.4 x 25.7 cm),Paintings,ca. 1510,"Madonna and Child is a Unknown Painting by the Unknown artist Giovanni Bellini. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Overall 13 1/2 x 10 7/8 in. (34.3 x 27.6 cm); painted surface 12 3/4 x 10 1/8 in. (32.4 x 25.7 cm), the work is classified as Paintings and was created in ca. 1510.",http://example_url_2749/
435645,Madonna and Child,Painting,European Paintings,Unknown,Unknown,Jacopo Bellini,"Tempera on wood, gold ground","Overall, with arched top, 34 1/2 x 25 in. (87.6 x 63.5 cm); painted surface 30 1/2 x 21 3/4 in. (77.5 x 55.2 cm)",Paintings,probably 1440s,"Madonna and Child is a Unknown Painting by the Unknown artist Jacopo Bellini. This piece, part of the European Paintings collection, is crafted using Tempera on wood, gold ground. Measuring Overall, with arched top, 34 1/2 x 25 in. (87.6 x 63.5 cm); painted surface 30 1/2 x 21 3/4 in. (77.5 x 55.2 cm), the work is classified as Paintings and was created in probably 1440s.",http://example_url_2750/
